,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
88,East Timor,Also known as Timor-Leste.,Dili,,,flag-east_timor.png,,map-east_timor.png,UG::Asia UG::Southeast_Asia UG::Sovereign_State
89,Easter Island,Polynesian island and special territory of Chile.,,,,flag-easter_island.png,,map-easter_island.png,UG::Oceania
90,Ecuador,,Quito,,,flag-ecuador.png,Colombia (no coat of arms),map-ecuador.png,UG::South_America UG::Sovereign_State
91,Egypt,,Cairo,,,flag-egypt.png,"Iraq (text instead of emblem), Syria (two stars instead of emblem), Yemen (no emblem)",map-egypt.png,UG::Africa UG::Mediterranean UG::Middle_East UG::Sovereign_State
92,El Salvador,,San Salvador,,,flag-el_salvador.png,"Nicaragua (different coat of arms, slightly lighter blue)",map-el_salvador.png,UG::North_America UG::Sovereign_State
93,England,Constituent country of the United Kingdom.,London,,Not a sovereign country,flag-england.png,,map-england.png,UG::Europe
94,English Channel,,,,,,,map-english_channel.png,UG::Oceans+Seas
95,Equatorial Guinea,,Malabo,,,flag-equatorial_guinea.png,,map-equatorial_guinea.png,UG::Africa UG::Sovereign_State
96,Eritrea,,Asmara,,,flag-eritrea.png,,map-eritrea.png,UG::Africa UG::East_Africa UG::Sovereign_State
97,Estonia,,Tallinn,,,flag-estonia.png,,map-estonia.png,UG::Europe UG::European_Union UG::Sovereign_State
98,Eswatini,Known as Swaziland until 2018.,Mbabane,"While Mbabane is the official, executive capital, Lobamba is the traditional, spiritual and legislative capital.",,flag-eswatini.png,,map-eswatini.png,UG::Africa UG::Sovereign_State
99,Ethiopia,,Addis Ababa,,,flag-ethiopia.png,,map-ethiopia.png,UG::Africa UG::East_Africa UG::Sovereign_State
100,Europe,,,,,,,map-europe-nobox.png,UG::Continents
101,European Union,,Brussels,"Brussels is the seat of the executive branch, but the European Union has institutions in other European cities.",Not a sovereign country,flag-european_union.png,,map-european_union.png,UG::Europe
102,Falkland Islands,Overseas territory of the United Kingdom.,Stanley,,,flag-falkland_islands.png,,map-falkland_islands.png,UG::South_America
103,Faroe Islands,Constituent country in the Kingdom of Denmark.,Tórshavn,,,flag-faroe_islands.png,"Iceland (blue background, red and white cross), Norway (red background, blue and white cross)",map-faroe_islands.png,UG::Europe
104,Federated States of Micronesia,,Palikir,,,flag-federated_states_of_micronesia.png,,map-federated_states_of_micronesia.png,UG::Oceania UG::Sovereign_State
105,Fiji,,Suva,,,flag-fiji.png,,map-fiji.png,UG::Oceania UG::Sovereign_State
106,Finland,,Helsinki,,,flag-finland.png,,map-finland.png,UG::Europe UG::European_Union UG::Sovereign_State
107,France,,Paris,,,flag-france.png,,map-france.png,UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
108,French Guiana,Overseas department of France.,Cayenne,,,,,map-french_guiana.png,UG::South_America
109,French Polynesia,Overseas territory of France.,Papeete,,,flag-french_polynesia.png,,map-french_polynesia.png,UG::Oceania
110,Gabon,,Libreville,,,flag-gabon.png,,map-gabon.png,UG::Africa UG::Sovereign_State
111,Galápagos Islands,Province of Ecuador.,Puerto Baquerizo Moreno,,,flag-galapagos_islands.png,Sierra Leone (slightly lighter blue),map-galapagos_islands.png,UG::South_America
112,Georgia,,Tbilisi,,,flag-georgia.png,,map-georgia.png,UG::Europe UG::Sovereign_State
113,Germany,,Berlin,,,flag-germany.png,,map-germany.png,UG::Europe UG::European_Union UG::Sovereign_State
114,Ghana,,Accra,,,flag-ghana.png,Bolivia (coat of arms instead of star),map-ghana.png,UG::Africa UG::Sovereign_State UG::West_Africa
115,Gibraltar,Overseas territory of the United Kingdom.,Gibraltar,,,flag-gibraltar.png,,map-gibraltar.png,UG::Europe UG::Mediterranean
116,Greece,,Athens,,,flag-greece.png,,map-greece.png,UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
117,Greenland,Constituent country in the Kingdom of Denmark.,Nuuk,,,flag-greenland.png,,map-greenland.png,UG::North_America
118,Grenada,,St. George's,,,flag-grenada.png,,map-grenada.png,UG::Caribbean UG::North_America UG::Sovereign_State
119,Guadeloupe,Overseas department of France.,Basse-Terre,,Not a sovereign country,,,map-guadeloupe.png,UG::Caribbean UG::North_America
120,Guam,Unincorporated territory of the United States.,Hagåtña,,,flag-guam.png,,map-guam.png,UG::Oceania
121,Guatemala,,Guatemala City,,,flag-guatemala.png,,map-guatemala.png,UG::North_America UG::Sovereign_State
122,Guernsey,Crown dependency of the United Kingdom.,St. Peter Port,,,flag-guernsey.png,,map-guernsey.png,UG::Europe
123,Guinea,,Conakry,,,flag-guinea.png,"Mali (red and green flipped, slightly brighter green)",map-guinea.png,UG::Africa UG::Sovereign_State UG::West_Africa
124,Guinea-Bissau,,Bissau,,,flag-guinea-bissau.png,,map-guinea-bissau.png,UG::Africa UG::Sovereign_State UG::West_Africa
125,Gulf of California,Also known as the Sea of Cortez.,,,,,,map-gulf_of_california.png,UG::Oceans+Seas
126,Gulf of Carpentaria,,,,,,,map-gulf_of_carpentaria.png,UG::Oceans+Seas
127,Gulf of Mexico,,,,,,,map-gulf_of_mexico.png,UG::Oceans+Seas
128,Gulf of Thailand,Also known as the Gulf of Siam.,,,,,,map-gulf_of_thailand.png,UG::Oceans+Seas
129,Guyana,,Georgetown,,Sovereign country,flag-guyana.png,,map-guyana.png,UG::South_America UG::Sovereign_State
130,Haiti,,Port-au-Prince,,,flag-haiti.png,,map-haiti.png,UG::Caribbean UG::North_America UG::Sovereign_State
131,Honduras,,Tegucigalpa,,,flag-honduras.png,,map-honduras.png,UG::North_America UG::Sovereign_State
132,Hong Kong,Special Administrative Region of China.,,,,flag-hong_kong.png,,map-hong_kong.png,UG::Asia
133,Hudson Bay,,,,,,,map-hudson_bay.png,UG::Oceans+Seas
134,Hungary,,Budapest,,,flag-hungary.png,,map-hungary.png,UG::Europe UG::European_Union UG::Sovereign_State
135,Iceland,,Reykjavík,,,flag-iceland.png,"Norway (red background, blue cross), Faroe Islands (white background, red and blue cross)",map-iceland.png,UG::Europe UG::Sovereign_State
136,India,,New Delhi,,,flag-india.png,,map-india.png,UG::Asia UG::Sovereign_State
137,Indian Ocean,,,,,,,map-indian_ocean-nobox.png,UG::Oceans+Seas
138,Indonesia,,Jakarta,,,flag-indonesia.png,"Monaco (narrower, darker red), Poland (red and white flipped, darker red)",map-indonesia.png,UG::Asia UG::Southeast_Asia UG::Sovereign_State
139,Iran,,Tehran,,,flag-iran.png,,map-iran.png,UG::Asia UG::Middle_East UG::Sovereign_State
140,Iraq,,Baghdad,,,flag-iraq.png,"Egypt (emblem instead of text), Syria (two stars instead of text), Yemen (no text)",map-iraq.png,UG::Asia UG::Middle_East UG::Sovereign_State
141,Ireland,,Dublin,,,flag-ireland.png,"Ivory Coast (green and orange flipped, narrower)",map-ireland.png,UG::Europe UG::European_Union UG::Sovereign_State
142,Isle of Man,Crown dependency of the United Kingdom.,Douglas,,,flag-isle_of_man.png,,map-isle_of_man.png,UG::Europe
143,Israel,,Jerusalem,,,flag-israel.png,,map-israel.png,UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
144,Italy,,Rome,,,flag-italy.png,,map-italy.png,UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
145,Ivory Coast,Officially Côte d'Ivoire.,Yamoussoukro,"While Yamoussoukro is the official capital, Abidjan is the de facto seat of government.",,flag-ivory_coast.png,"Ireland (orange and green flipped, wider)",map-ivory_coast.png,UG::Africa UG::Sovereign_State UG::West_Africa
146,Jamaica,,Kingston,,Sovereign country,flag-jamaica.png,,map-jamaica.png,UG::Caribbean UG::North_America UG::Sovereign_State
147,Japan,,Tokyo,,,flag-japan.png,,map-japan.png,UG::Asia UG::Sovereign_State
148,Java,Island of Indonesia.,,,,,,map-java.png,UG::Asia
149,Jersey,Crown dependency of the United Kingdom.,Saint Helier,,,flag-jersey.png,,map-jersey.png,UG::Europe
150,Jordan,,Amman,,,flag-jordan.png,,map-jordan.png,UG::Asia UG::Middle_East UG::Sovereign_State
151,Kaliningrad Oblast,Oblast (administrative region) of the Russian Federation.,Kaliningrad,,,flag-kaliningrad_oblast.png,,map-kaliningrad_oblast.png,UG::Europe
152,Kazakhstan,,Nur-Sultan,Known as Astana until March 2019.,,flag-kazakhstan.png,,map-kazakhstan.png,UG::Asia UG::Sovereign_State
153,Kenya,,Nairobi,,,flag-kenya.png,,map-kenya.png,UG::Africa UG::East_Africa UG::Sovereign_State
154,Kiribati,,Tarawa,,,flag-kiribati.png,,map-kiribati.png,UG::Oceania UG::Sovereign_State
155,Kosovo,Partially recognised state claimed by Serbia.,Pristina,,,flag-kosovo.png,,map-kosovo.png,UG::Europe UG::Sovereign_State
156,Kuwait,,Kuwait City,,,flag-kuwait.png,,map-kuwait.png,UG::Asia UG::Middle_East UG::Sovereign_State
157,Kyrgyzstan,,Bishkek,,,flag-kyrgyzstan.png,,map-kyrgyzstan.png,UG::Asia UG::Sovereign_State
158,Labrador Sea,,,,,,,map-labrador_sea.png,UG::Oceans+Seas
159,Laos,,Vientiane,,,flag-laos.png,,map-laos.png,UG::Asia UG::Southeast_Asia UG::Sovereign_State
160,Latvia,,Riga,,,flag-latvia.png,"Austria (brighter red, wider white band)",map-latvia.png,UG::Europe UG::European_Union UG::Sovereign_State
161,Lebanon,,Beirut,,,flag-lebanon.png,,map-lebanon.png,UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
162,Lesotho,,Maseru,,,flag-lesotho.png,,map-lesotho.png,UG::Africa UG::Sovereign_State
163,Liberia,,Monrovia,,,flag-liberia.png,,map-liberia.png,UG::Africa UG::Sovereign_State UG::West_Africa
164,Libya,,Tripoli,,,flag-libya.png,,map-libya.png,UG::Africa UG::Mediterranean UG::Sovereign_State
165,Liechtenstein,,Vaduz,,,flag-liechtenstein.png,,map-liechtenstein.png,UG::Europe UG::Sovereign_State
166,Lithuania,,Vilnius,,,flag-lithuania.png,,map-lithuania.png,UG::Europe UG::European_Union UG::Sovereign_State
167,Luxembourg,,Luxembourg City,Officially Luxembourg.,,flag-luxembourg.png,Netherlands (darker blue),map-luxembourg.png,UG::Europe UG::European_Union UG::Sovereign_State
168,Macau,Special Administrative Region of China.,,,,flag-macau.png,,map-macau.png,UG::Asia
169,Madagascar,,Antananarivo,,,flag-madagascar.png,,map-madagascar.png,UG::Africa UG::East_Africa UG::Sovereign_State
170,Madeira,Autonomous region of Portugal.,Funchal,,,flag-madeira.png,,map-madeira.png,UG::Europe
171,Malawi,,Lilongwe,,,flag-malawi.png,,map-malawi.png,UG::Africa UG::East_Africa UG::Sovereign_State
172,Malaysia,,Kuala Lumpur,,,flag-malaysia.png,,map-malaysia.png,UG::Asia UG::Southeast_Asia UG::Sovereign_State
173,Maldives,,Malé,,,flag-maldives.png,,map-maldives.png,UG::Asia UG::Sovereign_State
174,Mali,,Bamako,,,flag-mali.png,"Guinea (green and red flipped, slightly darker green)",map-mali.png,UG::Africa UG::Sovereign_State UG::West_Africa
175,Malta,,Valletta,,,flag-malta.png,,map-malta.png,UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
176,Marshall Islands,,Majuro,,,flag-marshall_islands.png,,map-marshall_islands.png,UG::Oceania UG::Sovereign_State
177,Martinique,Overseas department of France.,Fort-de-France,,,,,map-martinique.png,UG::Caribbean UG::North_America
178,Mauritania,,Nouakchott,,,flag-mauritania.png,,map-mauritania.png,UG::Africa UG::Sovereign_State UG::West_Africa
179,Mauritius,,Port Louis,,,flag-mauritius.png,,map-mauritius.png,UG::Africa UG::East_Africa UG::Sovereign_State
180,Mayotte,Overseas department of France.,Mamoudzou,,,,,map-mayotte.png,UG::Africa UG::East_Africa
181,Mediterranean Sea,,,,,,,map-mediterranean_sea.png,UG::Oceans+Seas
182,Melanesia,"Subregion of Oceania, which includes the four countries of Vanuatu, the Solomon Islands, Fiji, and Papua New Guinea.",,,,,,map-melanesia.png,UG::Oceania
183,Melilla,Autonomous city of Spain,,,,flag-melilla.png,,map-melilla.png,UG::Europe
184,Mexico,,Mexico City,,,flag-mexico.png,,map-mexico.png,UG::North_America UG::Sovereign_State
185,Micronesia,Subregion of Oceania comprising thousands of small islands in the western Pacific Ocean.,,,,,,map-micronesia.png,UG::Oceania
186,Moldova,,Chișinău,,,flag-moldova.png,"Andorra (narrower, coat of arms with motto)",map-moldova.png,UG::Europe UG::Sovereign_State
187,Monaco,,Monaco,,,flag-monaco.png,"Indonesia (wider, brighter red), Poland (red and white flipped, wider)",map-monaco.png,UG::Europe UG::Mediterranean UG::Sovereign_State
188,Mongolia,,Ulaanbaatar,,,flag-mongolia.png,,map-mongolia.png,UG::Asia UG::Sovereign_State
189,Montenegro,,Podgorica,Cetinje is an honorary capital.,,flag-montenegro.png,,map-montenegro.png,UG::Europe UG::Mediterranean UG::Sovereign_State
190,Montserrat,Overseas territory of the United Kingdom.,Brades,"Eruptions in 1997 destroyed the capital city of Plymouth, making Brades the de facto capital.",,flag-montserrat.png,,map-montserrat.png,UG::Caribbean UG::North_America
191,Morocco,,Rabat,,,flag-morocco.png,,map-morocco.png,UG::Africa UG::Mediterranean UG::Sovereign_State
192,Mount Athos,"Autonomous orthodox monastic state in northeastern Greece, also known as the Holy Mountain.",Karyes,,,flag-mount_athos.png,,map-mount_athos.png,UG::Europe
193,Mozambique,,Maputo,,,flag-mozambique.png,,map-mozambique.png,UG::Africa UG::East_Africa UG::Sovereign_State
194,Myanmar,Also known as Burma.,Naypyidaw,,,flag-myanmar.png,,map-myanmar.png,UG::Asia UG::Southeast_Asia UG::Sovereign_State
195,Namibia,,Windhoek,,,flag-namibia.png,,map-namibia.png,UG::Africa UG::Sovereign_State
196,Nauru,,Yaren,Nauru has no official capital; the Yaren District is the de facto capital.,,flag-nauru.png,Curaçao (two stars in top-left corner),map-nauru.png,UG::Oceania UG::Sovereign_State
197,Nepal,,Kathmandu,,,flag-nepal-nobox.png,,map-nepal.png,UG::Asia UG::Sovereign_State
198,Netherlands,,Amsterdam,"While Amsterdam is the official capital, The Hague is the seat of the executive and legislative branches.",,flag-netherlands.png,Luxembourg (lighter blue),map-netherlands.png,UG::Europe UG::European_Union UG::Sovereign_State
199,New Caledonia,Overseas territory of France.,Nouméa,,,flag-new_caledonia.png,,map-new_caledonia.png,UG::Oceania
200,New Zealand,,Wellington,,,flag-new_zealand.png,"Australia (white stars, two more stars)",map-new_zealand.png,UG::Oceania UG::Sovereign_State
201,Nicaragua,,Managua,,,flag-nicaragua.png,"El Salvador (different coat of arms, slightly darker blue)",map-nicaragua.png,UG::North_America UG::Sovereign_State
202,Niger,,Niamey,,,flag-niger.png,,map-niger.png,UG::Africa UG::Sovereign_State UG::West_Africa
203,Nigeria,,Abuja,,,flag-nigeria.png,,map-nigeria.png,UG::Africa UG::Sovereign_State UG::West_Africa
204,Niue,,Alofi,,,flag-niue.png,,map-niue.png,UG::Oceania UG::Sovereign_State
205,Norfolk Island,External territory of Australia.,Kingston,,Not a sovereign country,flag-norfolk_island.png,,map-norfolk_island.png,UG::Oceania
206,North America,,,,,,,map-north_america-nobox.png,UG::Continents
207,North Korea,,Pyongyang,,,flag-north_korea.png,,map-north_korea.png,UG::Asia UG::Sovereign_State
208,North Macedonia,Formerly known as Macedonia.,Skopje,,,flag-north_macedonia.png,,map-north_macedonia.png,UG::Europe UG::Sovereign_State
209,Northern Cyprus,State recognised only by Turkey and claimed by Cyprus.,North Nicosia,,,flag-northern_cyprus.png,,map-northern_cyprus.png,UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
210,Northern Ireland,Constituent country of the United Kingdom.,Belfast,,,,,map-northern_ireland.png,UG::Europe
211,Northern Mariana Islands,Unincorporated territory of the United States.,Saipan,,,flag-northern_mariana_islands.png,,map-northern_mariana_islands.png,UG::Oceania
212,Norway,,Oslo,,,flag-norway.png,"Iceland (blue background, red cross), Faroe Islands (white background, red and blue cross)",map-norway.png,UG::Europe UG::Sovereign_State
213,Norwegian Sea,,,,,,,map-norwegian_sea.png,UG::Oceans+Seas
214,Oman,,Muscat,,,flag-oman.png,,map-oman.png,UG::Asia UG::Middle_East UG::Sovereign_State
215,Pacific Ocean,,,,,,,map-pacific_ocean-nobox.png,UG::Oceans+Seas
216,Pakistan,,Islamabad,,,flag-pakistan.png,,map-pakistan.png,UG::Asia UG::Sovereign_State
217,Palau,,Ngerulmud,,,flag-palau.png,,map-palau.png,UG::Oceania UG::Sovereign_State
218,Palestine,,Ramallah,,,flag-palestine.png,"Sudan (green arrow, red stripe)",map-palestine.png,UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
219,Panama,,Panama City,,,flag-panama.png,,map-panama.png,UG::North_America UG::Sovereign_State
220,Papua New Guinea,,Port Moresby,,,flag-papua_new_guinea.png,,map-papua_new_guinea.png,UG::Oceania UG::Sovereign_State
221,Paraguay,,Asunción,,,flag-paraguay.png,,map-paraguay.png,UG::South_America UG::Sovereign_State
222,Persian Gulf,,,,,,,map-persian_gulf.png,UG::Oceans+Seas
223,Peru,,Lima,,,flag-peru.png,,map-peru.png,UG::South_America UG::Sovereign_State
224,Philippine Sea,,,,,,,map-philippine_sea.png,UG::Oceans+Seas
225,Philippines,,Manila,,,flag-philippines.png,,map-philippines.png,UG::Asia UG::Southeast_Asia UG::Sovereign_State
226,Pitcairn Islands,Overseas territory of the United Kingdom.,Adamstown,,,flag-pitcairn_islands.png,,map-pitcairn_islands.png,UG::Oceania
