,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
157,Chile,,Santiago,,,"<img src=""ug-flag-chile.svg"" />",,"<img src=""ug-map-chile.png"" />",UG::South_America UG::Sovereign_State
158,Colombia,,Bogotá,,,"<img src=""ug-flag-colombia.svg"" />",Ecuador (with coat of arms),"<img src=""ug-map-colombia.png"" />",UG::South_America UG::Sovereign_State
159,Ecuador,,Quito,,,"<img src=""ug-flag-ecuador.png"" />",Colombia (no coat of arms),"<img src=""ug-map-ecuador.png"" />",UG::South_America UG::Sovereign_State
160,Guyana,,Georgetown,,Sovereign country,"<img src=""ug-flag-guyana.svg"" />",,"<img src=""ug-map-guyana.png"" />",UG::South_America UG::Sovereign_State
161,Paraguay,,Asunción,,,"<img src=""ug-flag-paraguay-blur.svg"" /><img src=""ug-flag-paraguay.svg"" />",,"<img src=""ug-map-paraguay.png"" />",UG::South_America UG::Sovereign_State
162,Peru,,Lima,,,"<img src=""ug-flag-peru.png"" />",,"<img src=""ug-map-peru.png"" />",UG::South_America UG::Sovereign_State
163,Suriname,,Paramaribo,,,"<img src=""ug-flag-suriname.svg"" />",,"<img src=""ug-map-suriname.png"" />",UG::South_America UG::Sovereign_State
164,Uruguay,,Montevideo,,,"<img src=""ug-flag-uruguay.svg"" />",,"<img src=""ug-map-uruguay.png"" />",UG::South_America UG::Sovereign_State
165,Venezuela,,Caracas,,,"<img src=""ug-flag-venezuela.png"" />",,"<img src=""ug-map-venezuela.png"" />",UG::South_America UG::Sovereign_State
166,Cook Islands,,Avarua,,,"<img src=""ug-flag-cook_islands.svg"" />",,"<img src=""ug-map-cook_islands.png"" />",UG::Oceania UG::Sovereign_State
167,Federated States of Micronesia,,Palikir,,,"<img src=""ug-flag-federated_states_of_micronesia.svg"" />",,"<img src=""ug-map-federated_states_of_micronesia.png"" />",UG::Oceania UG::Sovereign_State
168,Guam,Unincorporated territory of the United States.,Hagåtña,,,"<img src=""ug-flag-guam-blur.svg"" /><img src=""ug-flag-guam.svg"" />",,"<img src=""ug-map-guam.png"" />",UG::Oceania
169,Vanuatu,,Port Vila,,,"<img src=""ug-flag-vanuatu.svg"" />",,"<img src=""ug-map-vanuatu.png"" />",UG::Oceania UG::Sovereign_State
